X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
321722.6439,671281.13,S01008486,4.17,508,4,47,"Hailes Quarry Park,Saughton Park",2805.374519,258025.0457,Slateford and Chesser - 01
322062.5861,671241.9935,S01008487,5,523,5,51,"Colinton & Craiglockhart Dells,Saughton Park",3575.584113,267562.0498,Slateford and Chesser - 02
322388.9958,671266.3945,S01008488,0,1,1,0,,1846.377254,100449.4487,Slateford and Chesser - 03
322354.2445,671736.0005,S01008489,2.75,425,3,48,Saughton Park,1596.576381,95744.97883,Slateford and Chesser - 04
322568.5065,671553.9855,S01008490,0,1,1,2,Saughton Park,1356.526181,88226.27782,Slateford and Chesser - 05
322751.8013,671693.3975,S01008491,2.75,425,3,27,Saughton Park,1764.685237,92887.83728,Slateford and Chesser - 06
322830.8261,672005.5005,S01008492,0,1,1,4,Saughton Park,1414.163983,74847.33905,Gorgie West - 01
322575.3724,672104.5,S01008493,2.75,425,3,48,Saughton Park,2890.767987,178472.2424,Gorgie West - 02
322440.6346,672429.5,S01008494,5.06,525,5,50,"Corstorphine Hill,Saughton Park",4074.652758,270628.1214,Gorgie West - 03
322939.006,672439.5,S01008495,0,1,1,2,Saughton Park,1554.982613,100496.9779,Gorgie West - 04
322998.2274,672161.3065,S01008496,0,1,1,2,Saughton Park,905.8486817,34585.48585,Gorgie West - 05
323152.5447,672158.5,S01008497,0,1,1,0,,1441.150012,47945.65798,Gorgie East - 01
323288.1994,672408,S01008498,0,1,1,0,,2221.70409,185583.1018,Gorgie East - 02
323232.2507,672776.149,S01008499,0,1,1,0,,2728.057528,150200.5375,Gorgie East - 03
323536.2339,672867.8685,S01008500,0,1,1,0,,570.6834449,15548.97425,Gorgie East - 04
323689.5654,672936.4575,S01008501,0,1,1,0,,966.8545422,23719.91484,Gorgie East - 05
323023.4023,672039.5915,S01008502,0,1,1,0,,924.721379,28440.28809,Shandon - 01
323052.4538,671905,S01008503,0,1,1,0,,1584.4326,46493.51031,Shandon - 02
323011.881,671667,S01008504,0,1,1,0,,2099.029975,88637.36978,Shandon - 03
323228.5955,671799.2285,S01008505,0,1,1,0,,1218.963915,42273.1135,Shandon - 04
323590.6187,671738.0005,S01008506,0,1,1,1,Easter Craiglockhart Hill,2307.276783,189703.6434,Shandon - 05
323514.2287,672062,S01008507,0,1,1,0,,1987.276104,110563.358,Shandon - 06
323137.8293,671236,S01008508,1.99,301,2,3,Easter Craiglockhart Hill,3944.001751,208874.7765,Craiglockhart - 01
322782.4512,671165.5,S01008509,1.99,301,2,3,Easter Craiglockhart Hill,4040.931935,366495.4002,Craiglockhart - 02
322447.3299,670776.5,S01008510,5.72,547,5,13,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill",3588.873379,244910.896,Craiglockhart - 03
322813.0905,670168.5,S01008511,5.72,547,5,8,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill",6297.01255,665474.6176,Craiglockhart - 04
322269.1268,670271.5,S01008512,3.73,491,4,8,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells",1880.31413,144533.1046,Craiglockhart - 05
322035.0198,670106.5,S01008513,2.25,369,3,11,Colinton & Craiglockhart Dells,3845.812659,336905.7925,Craiglockhart - 06
323342.3256,670527,S01008514,3.47,459,4,10,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill,Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",4108.204095,588492.0806,Morningside and Craighouse - 01
323912.4783,670660.5,S01008515,0,1,1,4,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",1521.448509,94673.02743,Morningside and Craighouse - 02
323890.4183,670908.5,S01008516,1.99,301,2,5,"Easter Craiglockhart Hill,Braidburn Valley Park",2106.351443,82754.69621,Morningside and Craighouse - 03
324294.6669,670798.5,S01008517,2.31,381,3,7,"Hermitage of Braid/Blackford Hill & Pond,Braidburn Valley Park",1867.550266,125467.4064,Morningside and Craighouse - 04
324135.2408,670553.57,S01008518,0,1,1,4,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",1839.345538,95651.19897,Morningside and Craighouse - 05
324077.0576,670326.4995,S01008519,2.78,434,3,7,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",2236.184767,129800.3831,Greenbank and The Braids - 01
324571.6241,669985.5,S01008520,5.09,532,5,21,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",6662.368248,507695.7291,Greenbank and The Braids - 02
324011.0678,669815.5,S01008521,2.78,434,3,10,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",2816.670187,373188.7673,Greenbank and The Braids - 03
323561.7323,670034.897,S01008522,4.26,510,4,11,"Braidburn Valley Park,Wester Craiglockhart Hill,Hermitage of Braid/Blackford Hill & Pond",1918.934808,110010.6776,Greenbank and The Braids - 04
323371.6445,669810.118,S01008523,4.26,510,4,6,"Wester Craiglockhart Hill,Braidburn Valley Park",2368.331752,248011.4769,Greenbank and The Braids - 05
