X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area
322447.329920774,670776.499999887,S01008510,5.72,547,5,13,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill",3588.87337912,244910.895975
322813.09048821,670168.50000056,S01008511,5.72,547,5,8,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill",6297.01254954,665474.617583
322269.126799415,670271.499999667,S01008512,3.73,491,4,8,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells",1880.31412953,144533.104564
322035.019838097,670106.500000076,S01008513,2.25,369,3,11,Colinton & Craiglockhart Dells,3845.81265872,336905.792522
323342.325592864,670527.0,S01008514,3.47,459,4,10,"Wester Craiglockhart Hill,Colinton & Craiglockhart Dells,Easter Craiglockhart Hill,Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",4108.20409548,588492.080625
323912.478323409,670660.500000397,S01008515,0,1,1,4,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",1521.44850934,94673.02743
323890.418296579,670908.500000028,S01008516,1.99,301,2,5,"Easter Craiglockhart Hill,Braidburn Valley Park",2106.35144293,82754.696214
324294.666879408,670798.499999977,S01008517,2.31,381,3,7,"Hermitage of Braid/Blackford Hill & Pond,Braidburn Valley Park",1867.55026579,125467.406377
324135.240750126,670553.570000477,S01008518,0,1,1,4,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",1839.34553832,95651.1989726
324077.057561633,670326.499499339,S01008519,2.78,434,3,7,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",2236.18476722,129800.383139
324571.624098202,669985.500000045,S01008520,5.09,532,5,21,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",6662.36824775,507695.729056
324011.067781792,669815.499999951,S01008521,2.78,434,3,10,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond",2816.6701867,373188.767255
323561.732302548,670034.896999671,S01008522,4.26,510,4,11,"Braidburn Valley Park,Wester Craiglockhart Hill,Hermitage of Braid/Blackford Hill & Pond",1918.93480779,110010.677647
323371.644460823,669810.118000218,S01008523,4.26,510,4,6,"Wester Craiglockhart Hill,Braidburn Valley Park",2368.33175239,248011.476862
323916.893218406,669352.012500559,S01008524,2.78,434,3,6,Braidburn Valley Park,2841.02564571,135399.354184
323250.790655679,669181.57399928,S01008525,2.78,434,3,6,Braidburn Valley Park,3439.09648787,188770.619776
322964.03435334,669500.14000018,S01008526,0,1,1,0,,3059.67123706,258281.652356
322997.742971998,669128.499999638,S01008527,0,1,1,0,,1556.30400332,91153.0819816
323146.300723781,668933.370500339,S01008528,0,1,1,0,,1440.97741912,80236.4368555
323309.078614536,668729.293498915,S01008529,0,1,1,0,,1985.61961298,114554.597363
323555.398974806,668922.499999405,S01008530,2.78,434,3,2,Braidburn Valley Park,1509.1899249,79070.7123145
323798.455076796,669045.753499507,S01008531,2.78,434,3,6,Braidburn Valley Park,2291.08146575,133218.738995
323810.580815778,668679.555999202,S01008532,0,1,1,0,,1438.96894851,72725.2208574
323372.057722272,668528.500000051,S01008533,0,1,1,0,,2379.47785845,137716.624343
323179.197582462,668255.500000411,S01008534,0,1,1,0,,2139.33552623,167586.179171
323740.25017427,668153.038999961,S01008535,0,1,1,0,,2439.30689616,187636.851661
324051.097884181,668510.950000667,S01008536,0,1,1,0,,2068.87890224,127985.957605
