datazone_code,datazone_name,greenspace_name
S01008552,Mortonhall and Anwickhill - 03,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008556,"Gracemount, Southhouse and Burdiehouse - 04",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008557,"Gracemount, Southhouse and Burdiehouse - 05",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008558,"Gracemount, Southhouse and Burdiehouse - 06",Burdiehouse Burn Valley Park inc Moredun Wood 
S01008559,Hyvots and Gilmerton - 01,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008560,Hyvots and Gilmerton - 02,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008561,Hyvots and Gilmerton - 03,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008562,Hyvots and Gilmerton - 04,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008563,Hyvots and Gilmerton - 05,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008564,Fernieside and Moredun South - 01,-
S01008565,Fernieside and Moredun South - 02,-
S01008566,Fernieside and Moredun South - 03,-
S01008567,Fernieside and Moredun South - 04,-
S01008568,Fernieside and Moredun South - 05,Craigmillar Castle Park inc Hawkhill 
S01008569,Moredun and Craigour - 01,-
S01008570,Moredun and Craigour - 02,-
S01008571,Moredun and Craigour - 03,-
S01008572,Moredun and Craigour - 04,-
S01008573,Liberton East - 01,-
S01008574,Liberton East - 02,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008575,Liberton East - 03,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008576,Liberton East - 04,-
S01008577,Liberton West and Braid Hills - 01,Burdiehouse Burn Valley Park inc Moredun Wood 
S01008578,Liberton West and Braid Hills - 02,-
S01008579,Liberton West and Braid Hills - 03,Braidburn Valley Park 
S01008579,Liberton West and Braid Hills - 03,Hermitage of Braid/Blackford Hill & Pond 
S01008579,Liberton West and Braid Hills - 03,Mortonhall Caravan Park 
S01008580,Liberton West and Braid Hills - 04,Inch Park 
S01008581,The Inch - 01,Inch Park 
S01008582,The Inch - 02,-
S01008583,The Inch - 03,Inch Park 
S01008584,The Inch - 04,Inch Park 
S01008584,The Inch - 04,Craigmillar Castle Park inc Hawkhill 
S01008585,The Inch - 05,Inch Park 
S01008585,The Inch - 05,Craigmillar Castle Park inc Hawkhill 
S01008586,The Inch - 06,Inch Park 
S01008586,The Inch - 06,Craigmillar Castle Park inc Hawkhill 
S01008587,"Blackford, West Mains and Mayfield Road - 01",Hermitage of Braid/Blackford Hill & Pond 
S01008587,"Blackford, West Mains and Mayfield Road - 01",Inch Park 
S01008588,"Blackford, West Mains and Mayfield Road - 02",Hermitage of Braid/Blackford Hill & Pond 
S01008589,"Blackford, West Mains and Mayfield Road - 03",Hermitage of Braid/Blackford Hill & Pond 
S01008590,"Blackford, West Mains and Mayfield Road - 04",Hermitage of Braid/Blackford Hill & Pond 
S01008591,"Blackford, West Mains and Mayfield Road - 05",-
S01008592,"Blackford, West Mains and Mayfield Road - 06",Hermitage of Braid/Blackford Hill & Pond 
S01008593,"Blackford, West Mains and Mayfield Road - 07",Inch Park 
S01008594,"Blackford, West Mains and Mayfield Road - 08",Inch Park 
S01008595,Prestonfield - 01,Inch Park 
S01008595,Prestonfield - 01,Craigmillar Castle Park inc Hawkhill 
S01008596,Prestonfield - 02,Inch Park 
S01008597,Prestonfield - 03,Inch Park 
S01008597,Prestonfield - 03,Holyrood Park 
S01008597,Prestonfield - 03,Duddingston Loch and Bird Sanctuary 
S01008597,Prestonfield - 03,Craigmillar Castle Park inc Hawkhill 
S01008598,Prestonfield - 04,Inch Park 
S01008599,Newington and Dalkeith Road - 01,Inch Park 
S01008600,Newington and Dalkeith Road - 02,The Meadows and Bruntsfield Links 
S01008600,Newington and Dalkeith Road - 02,Holyrood Park 
S01008601,Newington and Dalkeith Road - 03,The Meadows and Bruntsfield Links 
S01008601,Newington and Dalkeith Road - 03,Holyrood Park 
S01008601,Newington and Dalkeith Road - 03,Duddingston Loch and Bird Sanctuary 
S01008602,Newington and Dalkeith Road - 04,The Meadows and Bruntsfield Links 
S01008602,Newington and Dalkeith Road - 04,Holyrood Park 
